Catalogue_id,de,fr,it,en
orient_1,Norden,Nord,Nord,North
orient_2,Nordost,Nord-est,Nord-est,Northeast
orient_3,Osten,Est,Est,East
orient_4,Südost,Sud-est,Sud-est,Southeast
orient_5,Süden,Sud,Sud,South
orient_6,Südwest,Sud-ouest,Sud-ovest,Southwest
orient_7,Westen,Ouest,Ovest,West
orient_8,Nordwest,Nord-ouest,Nord-ovest,Northwest
orient_9,Zenit,Zénith,Zenit,Zenith
