xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_145,2020-11-11,20.65,,,,18852
detail_146,2014-10-09,3.24,,,,26308
detail_147,2014-12-09,186.84,,,,13078
detail_148,2017-07-11,2.35,,,,13078
detail_149,2017-10-26,1.7,,,,9922
detail_150,2020-02-10,50,,,,9543
detail_151,2016-07-09,2.52,,,,26355
detail_152,2017-09-19,9.1,,,,11735
detail_153,2017-11-08,1.81,,,,10178
detail_154,2020-02-20,37.8,,,,26416
detail_155,2016-09-30,7.12,,,,15684
detail_156,2014-11-27,29.29,,,,10194
detail_157,2015-03-06,19.95,,,,10204
detail_158,2014-09-30,4.16,,,,12905
detail_159,2017-12-21,64.8,,,,26488
detail_160,2020-09-07,29.9,,,,9540
detail_161,2017-08-04,26.46,,,,11055
detail_162,2017-09-29,9.07,,,,10213
detail_163,2015-05-01,4.9,,,,16896
detail_164,2016-12-16,2.53,,,,16951
detail_165,2012-02-17,19.94,,,,16951
detail_166,2014-12-18,61.36,,,,16951
detail_167,2015-09-07,2.89,,,,10930
detail_168,2019-06-28,9.9,,,,17282
detail_169,2015-03-31,14.6,,,,17282
detail_170,2013-12-16,312.52,,,,17290
detail_171,2018-07-18,10,,,,12126
detail_172,2014-08-22,6.21,,,,12255
detail_173,2015-03-20,28.86,,,,17604
detail_174,2013-07-22,3.75,,,,10785
detail_175,2012-09-07,8,,,,10785
detail_176,2012-09-21,8,,,,10785
detail_177,2010-09-15,0.6,,,,10862
detail_178,2017-10-27,140.13,,,,17696
detail_179,2017-06-28,1.05,,,,12916
detail_180,2011-08-01,110,,,,17689
detail_181,2017-05-15,1.2,,,,11682
detail_182,2015-03-07,3,,,,17711
detail_183,2018-12-13,40.4,,,,11371
detail_184,2019-10-10,26.46,,,,12498
detail_185,2015-03-13,3.25,,,,10937
detail_186,2017-08-09,40.8,,,,12345
detail_187,2013-06-12,64.94,,,,12345
detail_188,2012-07-11,94.91,,,,12345
detail_189,2020-06-24,141.44,,,,12345
detail_190,2014-08-28,75.21,,,,12345
detail_191,2020-06-24,141.44,,,,12345
detail_192,2017-09-28,87,,,,10716
detail_193,2017-10-20,1.89,,,,17825
detail_194,2015-03-01,1.88,,,,17866
detail_195,2014-12-03,22.75,,,,12921
detail_196,2017-12-19,0.96,,,,12705
detail_197,2014-12-19,574.56,,,,18215
detail_198,2015-09-25,79.5,,,,18215
detail_199,2012-02-29,115.96,,,,18215
detail_200,2017-09-25,94.86,,,,18324
detail_201,2016-08-30,9.6,,,,26276
detail_202,2015-12-16,3.08,,,,12505
detail_203,2020-08-20,79.62,,,,11575
